depth,drop,pageid,parent_id,sex,sortkeyprefix,title
3,False,3832614,3503041,female,のうかく,Category:日本の女性農学者
3,False,3832587,3503041,female,ふつり,Category:日本の女性物理学者
3,False,4000377,4000379,female,さんせいけん,Category:日本の女性参政権活動家
3,False,4361815,4362345,female,19,Category:19世紀日本の女性教育者
3,False,4361833,4362345,female,20,Category:20世紀日本の女性教育者
3,False,4361850,4362345,female,21,Category:21世紀日本の女性教育者
3,True,2648513,3227111,female,おせろ,Category:オセロ (お笑いコンビ)
3,False,3844392,3825181,female,あにめえたあ,Category:日本の女性アニメーター
3,False,3844418,3825181,female,いらすとれえたあ,Category:日本の女性イラストレーター
3,False,3572739,3825181,female,えいかかんとく,Category:日本の女性映画監督
3,False,3807755,3825181,female,かか,Category:日本の女性画家
3,False,3991200,3825181,female,くらふいつくてさいな,Category:日本の女性グラフィックデザイナー
3,False,3824639,3825181,female,けんちくか,Category:日本の女性建築家
3,False,3825187,3825181,female,しやしんか,Category:日本の女性写真家
3,False,4006623,3825181,female,そうけい,Category:女性造形作家
3,False,3513465,3825181,female,たんさあ,Category:日本の女性ダンサー
3,False,3980133,3825181,female,ちようこくか,Category:日本の女性彫刻家
3,False,3947310,3825181,female,とうけいか,Category:日本の女性陶芸家
3,False,3988396,3825181,female,はんか,Category:日本の女性版画家
3,False,2389803,2331549,female,よ,Category:過去の保健師助産師看護師養成所
3,False,2657799,2331549,female,大,Category:保健師助産師看護師養成所 (大学)
3,False,2657785,2331549,female,短,Category:保健師助産師看護師養成所 (短期大学)
3,False,2477333,3551922,female,おとこやく,Category:男役
3,False,2490863,3551922,female,むすめやく,Category:娘役
3,False,2261128,230937,female,*あたるとひておめえかあへつ,Category:日本のアダルトビデオメーカー別のAV女優
3,False,2324724,230937,female,しゆくしよけいえいふいしよゆう,Category:熟女系AV女優
3,False,3450568,230937,female,にゆうはあふええふいしよゆう,Category:ニューハーフAV女優
3,False,5104971,230937,female,はあふのえいふいしよゆう,Category:ハーフのAV女優
3,True,2383644,230937,female,ひいああるたふりゆういちまるはち,Category:BRW108
3,False,4481449,4481441,female,16,Category:16世紀日本の女優
3,False,4481450,4481441,female,17,Category:17世紀日本の女優
3,False,4481026,4481441,female,19,Category:19世紀日本の女優
