,depth,drop,pageid,parent_id,sex,sortkeyprefix,title
1032,5,False,1331280,504286,female,ええくらす,Category:A-class
1052,5,False,4386555,4371897,female,あかわさわこ,Category:阿川佐和子
1054,5,False,2316314,388377,female,かあときやふたあさくら,Category:カードキャプターさくら
1055,5,False,798607,388377,female,つはされさほあくろにくる,Category:ツバサ-RESERVoir CHRoNiCLE-
1056,5,False,2878681,388377,female,ましつくないとれいああす,Category:魔法騎士レイアース
1068,5,False,3835384,4134585,male,ていつしゆ,Category:DISH//
1069,5,False,3783715,1168430,male,*めんはあ,Category:Hey! Say! JUMPのメンバー
1070,5,False,1051848,1168430,male,せふん,Category:Hey! Say! 7
1071,5,False,4232233,1168430,male,へすと,Category:Hey! Say! BEST
1072,5,False,3782788,649397,male,めんはあ,Category:NEWSのメンバー
1074,5,False,4682346,4682345,male,*めんはあ,Category:Travis Japanのメンバー
1075,5,False,3304289,562970,male,めんはあ,Category:TOKIOのメンバー
1076,5,False,4229680,3779968,male,*めんはあ,Category:Timeleszのメンバー
1077,5,False,4247625,4065634,male,*めんはあ,Category:Snow Manのメンバー
1078,5,False,4232041,4065628,male,*めんはあ,Category:SixTONESのメンバー
1079,5,False,4519499,572040,male,こんさあとつああ,Category:SUPER EIGHTのコンサート・ツアー
1080,5,False,3304049,572040,male,めんはあ,Category:SUPER EIGHTのメンバー
1081,5,False,4227912,3769626,male,*めんはあ,Category:King & Princeのメンバー
1082,5,False,3915878,2391986,male,めんはあ,Category:Kis-My-Ft2のメンバー
1083,5,False,4313995,4273925,male,*めんはあ,Category:A.B.C-Zのメンバー
1084,5,False,4229686,3090291,male,*めんはあ,Category:WEST.のメンバー
1085,5,False,2757826,640303,male,*めんはあ,Category:嵐のメンバー
1086,5,False,3257904,640303,male,ひかんち1,Category:ピカ☆ンチ LIFE IS HARDだけどHAPPY
1087,5,False,1969667,3902504,male,へや,Category:大鵬部屋
1140,6,False,4748263,4290572,female,ゆすかれい,Category:柚香光
1141,6,False,5089154,2699785,female,AKB48,Category:過去のAKB48所属者
1142,6,False,5089158,2699785,female,HKT48,Category:過去のHKT48所属者
1143,6,False,5089159,2699785,female,NGT48,Category:過去のNGT48所属者
1144,6,False,5089156,2699785,female,NMB48,Category:過去のNMB48所属者
1146,6,False,5089155,2699785,female,SKE48,Category:過去のSKE48所属者
1147,6,False,5089160,2699785,female,STU48,Category:過去のSTU48所属者
1154,6,False,4581858,1883698,female,*おくり ゆい,Category:小栗有以
1155,6,False,4581852,1883698,female,*むかいち みおん,Category:向井地美音
1156,6,False,4581866,1883698,female,*やまうち みすき,Category:山内瑞葵
